Apr 25 07:30:49 
Apr 25 07:30:49 🔔京喜签到, 开始!
Apr 25 07:30:49 
Apr 25 07:32:23 本次运行获得金币19,现金0.03
Apr 25 07:32:23 
Apr 25 07:32:23 ******开始【京东账号5】jd_46928899fcc30*********
Apr 25 07:32:23 
Apr 25 07:32:23 签到成功，获得9金币，已签到6天
Apr 25 07:32:23 去做浏览商品任务任务
Apr 25 07:32:23 任务领取成功
Apr 25 07:32:24 任务完成成功，获得金币1
Apr 25 07:32:25 去做浏览商品任务任务
Apr 25 07:32:25 任务领取成功
Apr 25 07:32:27 任务完成成功，获得金币1
Apr 25 07:32:28 去做浏览商品任务任务
Apr 25 07:32:28 任务领取成功
Apr 25 07:32:29 任务完成成功，获得金币1
Apr 25 07:32:30 去做浏览商品任务任务
Apr 25 07:32:30 任务领取成功
Apr 25 07:32:31 任务完成成功，获得金币1
Apr 25 07:32:32 去做浏览商品任务任务
Apr 25 07:32:32 任务领取成功
Apr 25 07:32:33 任务完成成功，获得金币1
Apr 25 07:32:34 去做浏览商品任务任务
Apr 25 07:32:35 任务领取成功
Apr 25 07:32:36 任务完成成功，获得金币1
Apr 25 07:32:37 去做浏览商品任务任务
Apr 25 07:32:37 任务领取成功
Apr 25 07:32:38 任务完成成功，获得金币1
Apr 25 07:32:39 去做浏览商品任务任务
Apr 25 07:32:39 任务领取成功
Apr 25 07:32:40 任务完成成功，获得金币1
Apr 25 07:32:41 去做浏览商品任务任务
Apr 25 07:32:41 任务领取成功
Apr 25 07:32:43 任务完成成功，获得金币1
Apr 25 07:32:44 去做浏览商品任务任务
Apr 25 07:32:44 任务领取成功
Apr 25 07:32:45 任务完成成功，获得金币1
Apr 25 07:32:46 双签成功，获得金币0.03元
Apr 25 07:32:46 京东账号5jd_46928899fcc30
Apr 25 07:32:46 本次运行获得金币19,现金0.03
Apr 25 07:32:46 
Apr 25 07:32:46 ******开始【京东账号6】jd_EirxWEerdtmu*********
Apr 25 07:32:46 
Apr 25 07:32:46 签到成功，获得9金币，已签到6天
Apr 25 07:32:46 去做浏览商品任务任务
Apr 25 07:32:47 任务领取成功
Apr 25 07:32:48 任务完成成功，获得金币1
Apr 25 07:32:49 去做浏览商品任务任务
Apr 25 07:32:49 任务领取成功
Apr 25 07:32:50 任务完成成功，获得金币1
Apr 25 07:32:51 去做浏览商品任务任务
Apr 25 07:32:51 任务领取成功
Apr 25 07:32:52 任务完成成功，获得金币1
Apr 25 07:32:53 去做浏览商品任务任务
Apr 25 07:32:53 任务领取成功
Apr 25 07:32:54 任务完成成功，获得金币1
Apr 25 07:32:55 去做浏览商品任务任务
Apr 25 07:32:56 任务领取成功
Apr 25 07:32:57 任务完成成功，获得金币1
Apr 25 07:32:58 去做浏览商品任务任务
Apr 25 07:32:58 任务领取成功
Apr 25 07:32:59 任务完成成功，获得金币1
Apr 25 07:33:00 去做浏览商品任务任务
Apr 25 07:33:00 任务领取成功
Apr 25 07:33:01 任务完成成功，获得金币1
Apr 25 07:33:02 去做浏览商品任务任务
Apr 25 07:33:02 任务领取成功
Apr 25 07:33:04 任务完成成功，获得金币1
Apr 25 07:33:05 去做浏览商品任务任务
Apr 25 07:33:05 任务领取成功
Apr 25 07:33:06 任务完成成功，获得金币1
Apr 25 07:33:07 去做浏览商品任务任务
Apr 25 07:33:07 任务领取成功
Apr 25 07:33:08 任务完成成功，获得金币1
Apr 25 07:33:09 双签成功，获得金币0.03元
Apr 25 07:33:09 京东账号6jd_EirxWEerdtmu
Apr 25 07:33:09 本次运行获得金币19,现金0.03
Apr 25 07:33:09 
Apr 25 07:33:09 🔔京喜签到, 结束! 🕛 140.155 秒
Apr 25 07:33:09 
Apr 26 07:29:18 
Apr 26 07:29:18 🔔京喜签到, 开始!
Apr 26 07:29:18 
Apr 26 07:29:18 ====================共6个京东账号Cookie=========
Apr 26 07:29:18 
Apr 26 07:29:18 ==================脚本执行- 北京时间(UTC+8)：4/26/2021, 7:29:18 AM=====================
Apr 26 07:29:18 
Apr 26 07:29:19 
Apr 26 07:29:19 ******开始【京东账号1】18337656372_p*********
Apr 26 07:29:19 
Apr 26 07:29:19 签到成功，获得10金币，已签到21天
Apr 26 07:29:19 去做浏览商品任务任务
Apr 26 07:29:19 任务领取成功
Apr 26 07:29:20 任务完成成功，获得金币1
Apr 26 07:29:21 去做浏览商品任务任务
Apr 26 07:29:21 任务领取成功
Apr 26 07:29:22 任务完成成功，获得金币1
Apr 26 07:29:23 去做浏览商品任务任务
Apr 26 07:29:24 任务领取成功
Apr 26 07:29:25 任务完成成功，获得金币1
Apr 26 07:29:26 去做浏览商品任务任务
Apr 26 07:29:26 任务领取成功
Apr 26 07:29:27 任务完成成功，获得金币1
Apr 26 07:29:28 去做浏览商品任务任务
Apr 26 07:29:28 任务领取成功
Apr 26 07:29:29 任务完成成功，获得金币1
Apr 26 07:29:30 去做浏览商品任务任务
Apr 26 07:29:30 任务领取成功
Apr 26 07:29:32 任务完成成功，获得金币1
Apr 26 07:29:33 去做浏览商品任务任务
Apr 26 07:29:33 任务领取成功
Apr 26 07:29:34 任务完成成功，获得金币1
Apr 26 07:29:35 去做浏览商品任务任务
Apr 26 07:29:35 任务领取成功
Apr 26 07:29:36 任务完成成功，获得金币1
Apr 26 07:29:37 去做浏览商品任务任务
Apr 26 07:29:37 任务领取成功
Apr 26 07:29:38 任务完成成功，获得金币1
Apr 26 07:29:40 双签成功，获得金币0.03元
Apr 26 07:29:40 京东账号118337656372_p
Apr 26 07:29:40 本次运行获得金币19,现金0.03
Apr 26 07:29:40 
Apr 26 07:29:40 ******开始【京东账号2】jd_MCazEJrLyuXn*********
Apr 26 07:29:40 
Apr 26 07:29:40 签到成功，获得10金币，已签到7天
Apr 26 07:29:40 去做浏览商品任务任务
Apr 26 07:29:40 任务领取成功
Apr 26 07:29:41 任务完成成功，获得金币1
Apr 26 07:29:42 去做浏览商品任务任务
Apr 26 07:29:42 任务领取成功
Apr 26 07:29:43 任务完成成功，获得金币1
Apr 26 07:29:44 去做浏览商品任务任务
Apr 26 07:29:45 任务领取成功
Apr 26 07:29:46 任务完成成功，获得金币1
Apr 26 07:29:47 去做浏览商品任务任务
Apr 26 07:29:47 任务领取成功
Apr 26 07:29:48 任务完成成功，获得金币1
Apr 26 07:29:49 去做浏览商品任务任务
Apr 26 07:29:49 任务领取成功
Apr 26 07:29:50 任务完成成功，获得金币1
Apr 26 07:29:51 去做浏览商品任务任务
Apr 26 07:29:51 任务领取成功
Apr 26 07:29:53 任务完成成功，获得金币1
Apr 26 07:29:54 去做浏览商品任务任务
Apr 26 07:29:54 任务领取成功
Apr 26 07:29:55 任务完成成功，获得金币1
Apr 26 07:29:56 去做浏览商品任务任务
Apr 26 07:29:56 任务领取成功
Apr 26 07:29:57 任务完成成功，获得金币1
Apr 26 07:29:58 去做浏览商品任务任务
Apr 26 07:29:58 任务领取成功
Apr 26 07:29:59 任务完成成功，获得金币1
Apr 26 07:30:01 任务完成失败，错误信息not sign
Apr 26 07:30:01 京东账号2jd_MCazEJrLyuXn
Apr 26 07:30:01 本次运行获得金币19,现金0
Apr 26 07:30:01 
Apr 26 07:30:01 ******开始【京东账号3】鬼神之吕奉先*********
Apr 26 07:30:01 
Apr 26 07:30:01 签到成功，获得10金币，已签到7天
Apr 26 07:30:01 去做浏览商品任务任务
Apr 26 07:30:01 任务领取成功
Apr 26 07:30:02 任务完成成功，获得金币1
Apr 26 07:30:03 去做浏览商品任务任务
Apr 26 07:30:03 任务领取成功
Apr 26 07:30:04 任务完成成功，获得金币1
Apr 26 07:30:05 去做浏览商品任务任务
Apr 26 07:30:06 任务领取成功
Apr 26 07:30:07 任务完成成功，获得金币1
Apr 26 07:30:08 去做浏览商品任务任务
Apr 26 07:30:08 任务领取成功
Apr 26 07:30:09 任务完成成功，获得金币1
Apr 26 07:30:10 去做浏览商品任务任务
Apr 26 07:30:10 任务领取成功
Apr 26 07:30:11 任务完成成功，获得金币1
Apr 26 07:30:12 去做浏览商品任务任务
Apr 26 07:30:12 任务领取成功
Apr 26 07:30:14 任务完成成功，获得金币1
Apr 26 07:30:15 去做浏览商品任务任务
Apr 26 07:30:15 任务领取成功
Apr 26 07:30:16 任务完成成功，获得金币1
Apr 26 07:30:17 去做浏览商品任务任务
Apr 26 07:30:17 任务领取成功
Apr 26 07:30:18 任务完成成功，获得金币1
Apr 26 07:30:19 去做浏览商品任务任务
Apr 26 07:30:19 任务领取成功
Apr 26 07:30:20 任务完成成功，获得金币1
Apr 26 07:30:22 双签成功，获得金币0.09元
Apr 26 07:30:22 京东账号3鬼神之吕奉先
Apr 26 07:30:22 本次运行获得金币19,现金0.09
Apr 26 07:30:22 
Apr 26 07:30:22 ******开始【京东账号4】jd_6ba76f15069fd*********
Apr 26 07:30:22 
Apr 26 07:30:22 签到成功，获得10金币，已签到7天
Apr 26 07:30:22 去做浏览商品任务任务
Apr 26 07:30:22 任务领取成功
Apr 26 07:30:23 任务完成成功，获得金币1
Apr 26 07:30:24 去做浏览商品任务任务
Apr 26 07:30:24 任务领取成功
Apr 26 07:30:26 任务完成成功，获得金币1
Apr 26 07:30:27 去做浏览商品任务任务
Apr 26 07:30:27 任务领取成功
Apr 26 07:30:28 任务完成成功，获得金币1
Apr 26 07:30:29 去做浏览商品任务任务
Apr 26 07:30:29 任务领取成功
Apr 26 07:30:30 任务完成成功，获得金币1
Apr 26 07:30:31 去做浏览商品任务任务
Apr 26 07:30:31 任务领取成功
Apr 26 07:30:32 任务完成成功，获得金币1
Apr 26 07:30:33 去做浏览商品任务任务
Apr 26 07:30:33 任务领取成功
Apr 26 07:30:35 任务完成成功，获得金币1
Apr 26 07:30:36 去做浏览商品任务任务
Apr 26 07:30:36 任务领取成功
Apr 26 07:30:37 任务完成成功，获得金币1
Apr 26 07:30:38 去做浏览商品任务任务
Apr 26 07:30:38 任务领取成功
Apr 26 07:30:39 任务完成成功，获得金币1
Apr 26 07:30:40 去做浏览商品任务任务
Apr 26 07:30:40 任务领取成功
Apr 26 07:30:41 任务完成成功，获得金币1
Apr 26 07:30:43 双签成功，获得金币0.09元
Apr 26 07:30:43 京东账号4jd_6ba76f15069fd
Apr 26 07:30:43 本次运行获得金币19,现金0.09
Apr 26 07:30:43 
Apr 26 07:30:43 ******开始【京东账号5】jd_46928899fcc30*********
Apr 26 07:30:43 
Apr 26 07:30:43 签到成功，获得10金币，已签到7天
Apr 26 07:30:43 去做浏览商品任务任务
Apr 26 07:30:43 任务领取成功
Apr 26 07:30:44 任务完成成功，获得金币1
Apr 26 07:30:45 去做浏览商品任务任务
Apr 26 07:30:45 任务领取成功
Apr 26 07:30:47 任务完成成功，获得金币1
Apr 26 07:30:48 去做浏览商品任务任务
Apr 26 07:30:48 任务领取成功
Apr 26 07:30:49 任务完成成功，获得金币1
Apr 26 07:30:50 去做浏览商品任务任务
Apr 26 07:30:50 任务领取成功
Apr 26 07:30:51 任务完成成功，获得金币1
Apr 26 07:30:52 去做浏览商品任务任务
Apr 26 07:30:52 任务领取成功
Apr 26 07:30:53 任务完成成功，获得金币1
Apr 26 07:30:54 去做浏览商品任务任务
Apr 26 07:30:55 任务领取成功
Apr 26 07:30:56 任务完成成功，获得金币1
Apr 26 07:30:57 去做浏览商品任务任务
Apr 26 07:30:57 任务领取成功
Apr 26 07:30:58 任务完成成功，获得金币1
Apr 26 07:30:59 去做浏览商品任务任务
Apr 26 07:30:59 任务领取成功
Apr 26 07:31:00 任务完成成功，获得金币1
Apr 26 07:31:01 去做浏览商品任务任务
Apr 26 07:31:01 任务领取成功
Apr 26 07:31:03 任务完成成功，获得金币1
Apr 26 07:31:04 双签成功，获得金币0.09元
Apr 26 07:31:04 京东账号5jd_46928899fcc30
Apr 26 07:31:04 本次运行获得金币19,现金0.09
Apr 26 07:31:04 
Apr 26 07:31:04 ******开始【京东账号6】jd_EirxWEerdtmu*********
Apr 26 07:31:04 
Apr 26 07:31:04 签到成功，获得10金币，已签到7天
Apr 26 07:31:04 去做浏览商品任务任务
Apr 26 07:31:04 任务领取成功
Apr 26 07:31:05 任务完成成功，获得金币1
Apr 26 07:31:06 去做浏览商品任务任务
Apr 26 07:31:06 任务领取成功
Apr 26 07:31:08 任务完成成功，获得金币1
Apr 26 07:31:09 去做浏览商品任务任务
Apr 26 07:31:09 任务领取成功
Apr 26 07:31:10 任务完成成功，获得金币1
Apr 26 07:31:11 去做浏览商品任务任务
Apr 26 07:31:11 任务领取成功
Apr 26 07:31:12 任务完成成功，获得金币1
Apr 26 07:31:13 去做浏览商品任务任务
Apr 26 07:31:13 任务领取成功
Apr 26 07:31:14 任务完成成功，获得金币1
Apr 26 07:31:15 去做浏览商品任务任务
Apr 26 07:31:16 任务领取成功
Apr 26 07:31:17 任务完成成功，获得金币1
Apr 26 07:31:18 去做浏览商品任务任务
Apr 26 07:31:18 任务领取成功
Apr 26 07:31:19 任务完成成功，获得金币1
Apr 26 07:31:20 去做浏览商品任务任务
Apr 26 07:31:20 任务领取成功
Apr 26 07:31:21 任务完成成功，获得金币1
Apr 26 07:31:22 去做浏览商品任务任务
Apr 26 07:31:22 任务领取成功
Apr 26 07:31:24 任务完成成功，获得金币1
Apr 26 07:31:25 双签成功，获得金币0.09元
Apr 26 07:31:25 京东账号6jd_EirxWEerdtmu
Apr 26 07:31:25 本次运行获得金币19,现金0.09
Apr 26 07:31:25 
Apr 26 07:31:25 🔔京喜签到, 结束! 🕛 126.564 秒
Apr 26 07:31:25 
Apr 27 07:29:40 
Apr 27 07:29:40 🔔京喜签到, 开始!
Apr 27 07:29:40 
Apr 27 07:29:40 ====================共6个京东账号Cookie=========
Apr 27 07:29:40 
Apr 27 07:29:40 ==================脚本执行- 北京时间(UTC+8)：4/27/2021, 7:29:40 AM=====================
Apr 27 07:29:40 
Apr 27 07:29:41 
Apr 27 07:29:41 ******开始【京东账号1】18337656372_p*********
Apr 27 07:29:41 
Apr 27 07:29:41 签到成功，获得10金币，已签到22天
Apr 27 07:29:41 去做浏览商品任务任务
Apr 27 07:29:41 任务领取成功
Apr 27 07:29:42 任务完成成功，获得金币1
Apr 27 07:29:43 去做浏览商品任务任务
Apr 27 07:29:43 任务领取成功
Apr 27 07:29:45 任务完成成功，获得金币1
Apr 27 07:29:46 去做浏览商品任务任务
Apr 27 07:29:46 任务领取成功
Apr 27 07:29:47 任务完成成功，获得金币1
Apr 27 07:29:48 去做浏览商品任务任务
Apr 27 07:29:48 任务领取成功
Apr 27 07:29:49 任务完成成功，获得金币1
Apr 27 07:29:50 去做浏览商品任务任务
Apr 27 07:29:50 任务领取成功
Apr 27 07:29:51 任务完成成功，获得金币1
Apr 27 07:29:52 去做浏览商品任务任务
Apr 27 07:29:53 任务领取成功
Apr 27 07:29:54 任务完成成功，获得金币1
Apr 27 07:29:55 去做浏览商品任务任务
Apr 27 07:29:55 任务领取成功
Apr 27 07:29:56 任务完成成功，获得金币1
Apr 27 07:29:57 双签成功，获得金币0.09元
Apr 27 07:29:57 京东账号118337656372_p
Apr 27 07:29:57 本次运行获得金币17,现金0.09
Apr 27 07:29:57 
Apr 27 07:29:57 ******开始【京东账号2】jd_MCazEJrLyuXn*********
Apr 27 07:29:57 
Apr 27 07:29:57 签到成功，获得10金币，已签到8天
Apr 27 07:29:58 去做浏览商品任务任务
Apr 27 07:29:58 任务领取成功
Apr 27 07:29:59 任务完成成功，获得金币1
Apr 27 07:30:00 去做浏览商品任务任务
Apr 27 07:30:00 任务领取成功
Apr 27 07:30:01 任务完成成功，获得金币1
Apr 27 07:30:02 去做浏览商品任务任务
Apr 27 07:30:02 任务领取成功
Apr 27 07:30:03 任务完成成功，获得金币1
Apr 27 07:30:04 去做浏览商品任务任务
Apr 27 07:30:04 任务领取成功
Apr 27 07:30:06 任务完成成功，获得金币1
Apr 27 07:30:07 去做浏览商品任务任务
Apr 27 07:30:07 任务领取成功
Apr 27 07:30:08 任务完成成功，获得金币1
Apr 27 07:30:09 去做浏览商品任务任务
Apr 27 07:30:09 任务领取成功
Apr 27 07:30:10 任务完成成功，获得金币1
Apr 27 07:30:11 去做浏览商品任务任务
Apr 27 07:30:11 任务领取成功
Apr 27 07:30:12 任务完成成功，获得金币1
Apr 27 07:30:14 任务完成失败，错误信息not sign
Apr 27 07:30:14 京东账号2jd_MCazEJrLyuXn
Apr 27 07:30:14 本次运行获得金币17,现金0
Apr 27 07:30:14 
Apr 27 07:30:14 ******开始【京东账号3】鬼神之吕奉先*********
Apr 27 07:30:14 
Apr 27 07:30:14 签到成功，获得10金币，已签到8天
Apr 27 07:30:14 去做浏览商品任务任务
Apr 27 07:30:14 任务领取成功
Apr 27 07:30:15 任务完成成功，获得金币1
Apr 27 07:30:16 去做浏览商品任务任务
Apr 27 07:30:16 任务领取成功
Apr 27 07:30:17 任务完成成功，获得金币1
Apr 27 07:30:18 去做浏览商品任务任务
Apr 27 07:30:19 任务领取成功
Apr 27 07:30:20 任务完成成功，获得金币1
Apr 27 07:30:21 去做浏览商品任务任务
Apr 27 07:30:21 任务领取成功
Apr 27 07:30:22 任务完成成功，获得金币1
Apr 27 07:30:23 去做浏览商品任务任务
Apr 27 07:30:23 任务领取成功
Apr 27 07:30:24 任务完成成功，获得金币1
Apr 27 07:30:25 去做浏览商品任务任务
Apr 27 07:30:25 任务领取成功
Apr 27 07:30:27 任务完成成功，获得金币1
Apr 27 07:30:28 去做浏览商品任务任务
Apr 27 07:30:28 任务领取成功
Apr 27 07:30:29 任务完成成功，获得金币1
Apr 27 07:30:30 双签成功，获得金币0.03元
Apr 27 07:30:30 京东账号3鬼神之吕奉先
Apr 27 07:30:30 本次运行获得金币17,现金0.03
Apr 27 07:30:30 
Apr 27 07:30:30 ******开始【京东账号4】jd_6ba76f15069fd*********
Apr 27 07:30:30 
Apr 27 07:30:30 签到成功，获得10金币，已签到8天
Apr 27 07:30:30 去做浏览商品任务任务
Apr 27 07:30:31 任务领取成功
Apr 27 07:30:32 任务完成成功，获得金币1
Apr 27 07:30:33 去做浏览商品任务任务
Apr 27 07:30:33 任务领取成功
Apr 27 07:30:34 任务完成成功，获得金币1
Apr 27 07:30:35 去做浏览商品任务任务
Apr 27 07:30:35 任务领取成功
Apr 27 07:30:36 任务完成成功，获得金币1
Apr 27 07:30:37 去做浏览商品任务任务
Apr 27 07:30:37 任务领取成功
Apr 27 07:30:39 任务完成成功，获得金币1
Apr 27 07:30:40 去做浏览商品任务任务
Apr 27 07:30:40 任务领取成功
Apr 27 07:30:41 任务完成成功，获得金币1
Apr 27 07:30:42 去做浏览商品任务任务
Apr 27 07:30:42 任务领取成功
Apr 27 07:30:43 任务完成成功，获得金币1
Apr 27 07:30:44 去做浏览商品任务任务
Apr 27 07:30:44 任务领取成功
Apr 27 07:30:45 任务完成成功，获得金币1
Apr 27 07:30:47 双签成功，获得金币0.03元
Apr 27 07:30:47 京东账号4jd_6ba76f15069fd
Apr 27 07:30:47 本次运行获得金币17,现金0.03
Apr 27 07:30:47 
Apr 27 07:30:47 ******开始【京东账号5】jd_46928899fcc30*********
Apr 27 07:30:47 
Apr 27 07:30:47 签到成功，获得10金币，已签到8天
Apr 27 07:30:47 去做浏览商品任务任务
Apr 27 07:30:47 任务领取成功
Apr 27 07:30:48 任务完成成功，获得金币1
Apr 27 07:30:49 去做浏览商品任务任务
Apr 27 07:30:49 任务领取成功
Apr 27 07:30:51 任务完成成功，获得金币1
Apr 27 07:30:52 去做浏览商品任务任务
Apr 27 07:30:52 任务领取成功
Apr 27 07:30:53 任务完成成功，获得金币1
Apr 27 07:30:54 去做浏览商品任务任务
Apr 27 07:30:54 任务领取成功
Apr 27 07:30:55 任务完成成功，获得金币1
Apr 27 07:30:56 去做浏览商品任务任务
Apr 27 07:30:56 任务领取成功
Apr 27 07:30:57 任务完成成功，获得金币1
Apr 27 07:30:58 去做浏览商品任务任务
Apr 27 07:30:58 任务领取成功
Apr 27 07:31:00 任务完成成功，获得金币1
Apr 27 07:31:01 去做浏览商品任务任务
Apr 27 07:31:01 任务领取成功
Apr 27 07:31:02 任务完成成功，获得金币1
Apr 27 07:31:03 双签成功，获得金币0.03元
Apr 27 07:31:03 京东账号5jd_46928899fcc30
Apr 27 07:31:03 本次运行获得金币17,现金0.03
Apr 27 07:31:03 
Apr 27 07:31:03 ******开始【京东账号6】jd_EirxWEerdtmu*********
Apr 27 07:31:03 
Apr 27 07:31:03 签到成功，获得10金币，已签到8天
Apr 27 07:31:03 去做浏览商品任务任务
Apr 27 07:31:04 任务领取成功
Apr 27 07:31:05 任务完成成功，获得金币1
Apr 27 07:31:06 去做浏览商品任务任务
Apr 27 07:31:06 任务领取成功
Apr 27 07:31:07 任务完成成功，获得金币1
